"unique_id","collision_id","crash_date","crash_time","vehicle_id","state_registration","vehicle_type","vehicle_make","vehicle_model","vehicle_year","travel_direction","vehicle_occupants","driver_sex","driver_license_status","driver_license_jurisdiction","pre_crash","point_of_impact","vehicle_damage","vehicle_damage_1","vehicle_damage_2","vehicle_damage_3","public_property_damage","public_property_damage_type","contributing_factor_1","contributing_factor_2"
"14856165","3291849","2015-09-06T00:00:00.000","22:00","1","NY","PASSENGER VEHICLE",,,,,,,,,"Stopped in Traffic",,,,,,,,"Unspecified",
"13851173","3097477","2013-11-25T00:00:00.000","20:00","1","NY","SPORT UTILITY / STATION WAGON",,,,,,,,,,,,,,,,,"Driver Inattention/Distraction",
"17045096","3432659","2016-04-27T00:00:00.000","19:15","198679","NY","Station Wagon/Sport Utility Vehicle","FORD -CAR/SUV","FORD ZZZ","2000","West","1","M","Licensed","NY","Going Straight Ahead","Center Front End","Center Front End","Left Side Doors","Left Rear Quarter Panel",,"N",,"Following Too Closely","Unspecified"
"19138211","4228473","2019-10-24T00:00:00.000","3:35","49a6bfa1-9d8f-4303-b101-a57aa7f332ea",,"Sedan","TOYT -CAR/SUV",,"2015","South","0",,,,"Going Straight Ahead","Right Front Bumper","Right Front Bumper","Center Front End",,,"Y",,"Other Vehicular","Other Vehicular"
"19139716","4228752","2019-10-24T00:00:00.000","13:30","ee1bb541-25e0-4335-accc-6638116cecdf","OK","Sedan","NISS -CAR/SUV",,"2019","West","1","M","Licensed","NY","Making Right Turn","Left Front Bumper","Left Front Bumper",,,,"N",,"Unspecified","Unspecified"
"17187987","3482489","2016-07-17T00:00:00.000","17:45","529156","NJ","4 dr sedan","BMW -CAR/SUV",,"2014","East","1","M","Licensed","NJ","Going Straight Ahead","Center Back End","Center Back End",,,,"N",,"Unspecified","Unspecified"
"13097877","1011403","2014-08-20T00:00:00.000","10:00","1","NY","SPORT UTILITY / STATION WAGON",,,,,,,,,"Slowing or Stopping",,,,,,,,"Unspecified",
"19138997","4228597","2019-10-24T00:00:00.000","8:30","42998a22-2718-472b-a186-110eef8eb18a","NY","Sedan","TOYT -CAR/SUV",,"2010","West","1","F","Licensed","NY","Going Straight Ahead","Left Rear Quarter Panel","Left Rear Quarter Panel","Left Side Doors",,,"N",,"Unspecified","Unspecified"
"10230895","1034629","2014-10-07T00:00:00.000","15:05","1","NY","SPORT UTILITY / STATION WAGON",,,,,,,,,"Going Straight Ahead",,,,,,,,"Turning Improperly",
"17179435","3499115","2016-08-10T00:00:00.000","13:05","634943","NY","Flat Bed","FRHT-TRUCK/BUS",,"2015","Southeast","1","M","Licensed","NY","Making Right Turn","Trailer","Trailer",,,,"N",,"Turning Improperly","Oversized Vehicle"
